Original_Description,Manual_Category_Selected,Manual_Subcategory_Selected,
Boots-Leather-Boutique in Arkansas,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Metal%20golden%20container,Furniture,Military Display Cases,
Pick%20with%20Fiberglass%20Handle,Tools,Lifetime Warranty Tools,
Large caulk gun,Tools,Hand Tools - Over $200,
Leupold Mark 5HD 5-25x56 M5C3 35mm Front Focal TMR 171772 Rifle scope I have burned scope and original box,Sporting Goods and Outdoors,Scope,
metal/glass shade desk lamp,Housewares Home Decor,Lamp Shade Glass,
"Countertop, with sink",Furniture,"Marble Lamps, Table Tops etc.",
Faux Decorative Succulent Plant,Housewares Home Decor,Houseplants - Indoor,
Chinese bristle paintbrush,Tools,Hand Tools - Over $200,
Electric%20Scooters%20Go%20trax%20Rival,Toys and Games,"Scooter, Tricycle, Wagon",
Metal%20golden%20container,Furniture,Military Display Cases,
85%20inch%20Electric%20Installed%20Wall%20Fireplace%20-Linear%20by%20Ambiance,Housewares Home Decor,Fireplace Screens and Accessories,
clock radios timex,Housewares Home Decor,Clocks Under $25 New,
Mok wheel basalt electric bike,Sporting Goods and Outdoors,Bicycles,
Medium%20size%20silk%20carpet%20%E2%80%93%20Persian%20(Esfahan),Housewares Home Decor,"Rugs $1,000 or More",
Cloth Purse,Clothing and Accessories,Handbags and Purses Less than $150,
section%20of%20pallet%20racking%20with%20grates,Tools,Work Benches - Over $500,
grandfather clock,Housewares Home Decor,Grandfather Clock,
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
antique tractor lawn mowers,Sporting Goods and Outdoors,Sporting Equipment and Supplies,
iPhone%205,Electronics,Mobile Telephones,
8 oz Hargerty silver foam,Housewares Home Decor,Vases,
Black Bookshelf,Housewares Home Decor,Bookends,
iPhone%205,Electronics,Mobile Telephones,
6 Honeywell Air Purifieers,Appliances,Minor Appliances Under $200,
"dupray floro brush trinangular tool,window tool, 3 nylon brushes,add fresh fragerance , brush 5 packet 2 ct",Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
Phone%20Apple%20IPH%2015,Electronics,Mobile Telephones,
Folding%20Table,Furniture,Particle Board Furniture,
16.5x13%20Deep%20Organizer,Tools,"Tool chests, tool boxes and tool carts - Under $200",
Spotting%20scope,Sporting Goods and Outdoors,Binoculars,
4 upholstered crate and barrel dining room chairs,Furniture,Ordinary Furniture,
Clothes Rack,Furniture,Metal Shelving,
Nail%20Products,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
SOLAR%20PANELS%2015W%20RAVPOWER,Tools,Lifetime Warranty Tools,
"Royal%20Dutch%20mantel%20clock%20w/%20blue%20%26%20white%20design%20approx%2024%22%20tall%20-%20Dutch,%20antique",Housewares Home Decor,Grandfather Clock,
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
US Army Class A Army Green Uniform Patches,Clothing and Accessories,Military Uniforms,
Chest freezer,Appliances,Major Appliances Over $200 (except for below),
triquetra leather cord choker,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
Red Ladies Jacket,Clothing and Accessories,"Coats, Jackets, Suits",
Bostitch%20Smart%20Point%202.5-in%2016-Gauge%20Pneumatic%20Finish%20Nailer,Tools,Pneumatic Tools - Over $200,
BabyBliss Professional Curler,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Pontoon Tarp/Cover,Sporting Goods and Outdoors,Boating Equipment and Supplies,
Pier%20One%20Room%20Divider,Housewares Home Decor,"Room Dividers, Folding Screens",
2%20lamp%20shades%20white%20silk%2010%22x16%22x11%22,Housewares Home Decor,Lamp Shade,
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
Men's James English lambskin leather jacket,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Black Bookshelf,Housewares Home Decor,Bookends,
Coleman%20Hot%20Tub,Appliances,"Hot Tub, Spa",
Welding cart,Tools,Work Benches - Under $500,
Hobby Lobby Small table,Furniture,Ordinary Furniture,
"Sincerely, Not Line Drawing Art Print Abstract Faces Poster 11x14 UNFRAMED Trendy Fashion Artwork for Bedroom Bathroom or Living Room Picture Gallery Decor (Option 3)",Housewares Home Decor,Posters - Framed or Unframed,
privacy ornamental screen 3 fold,Housewares Home Decor,"Room Dividers, Folding Screens",
2%20heating%20pads,Personal Care and Beauty,Heating Pad,
Metal%20golden%20container,Furniture,Military Display Cases,
Oster Cordless Hair Clippers,Personal Care and Beauty,Barber Equipment,
1 hair straightner black model#73506 UK plug,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Samsung - Galaxy S21 FE 5G 128GB (Unlocked) - Navy,Electronics,Mobile Telephones,
Amana%20dryer%20front%20load,Appliances,Dryer - Electric or Gas,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
black ash tray,Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
4/0 copper wire,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
Colgate%20Extra%20Clean%20Full%20Head%20Toothbrush%20Medium%20-%201ct,Personal Care and Beauty,Dental Equipment,
low voltage outdoor lighting (set of 5),Housewares Home Decor,"Lamps, Lighting & Supplies",
Hair Rollers,Personal Care and Beauty,"Brushes - Clothes, Hair",
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
20 of storage bins,Housewares Home Decor,"Storage Containers, Plastic Tubs",
Large Brown and Taupe basement Rug,Housewares Home Decor,"Rugs $1,000 or More",
"GE 30"" White Washer - WHRE5550K2WW",Appliances,Washing Machine,
"Golf%20simulator%20wall%20covering,%20curtains",Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
Nash Magliano Umbrella,Clothing and Accessories,Umbrella,
Sanus electronic equipment rack,Furniture,Microwave Cart and Stands,
Snap%20on%20Top%20chest,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Gold%20'n%20Hot%201200%20hair%20dryer%20Model%20number%3A%20GH9271,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
4x6%20Area%20Rug%20Kane%20Carpet%20Company,Housewares Home Decor,Rugs Under $500,
Coleman%20Hot%20Tub,Appliances,"Hot Tub, Spa",
NOSE%20CLIPPERS,Personal Care and Beauty,Barber Equipment,
Area%20Rug,Housewares Home Decor,Rugs Under $500,
Husky%20roll%20around%20tool%20box%20-%20base%20-%20wood%20top,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Stanley sawhorses,Tools,Work Benches - Under $500,
SAMSUNG%20Dryer,Appliances,Dryer - Electric or Gas,
Extra Capacity Dryer Kenmore Elite 7cu ft (11066942501),Appliances,Dryer - Electric or Gas,
tool box for truck/ tools,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Gillette Razor and Refills,Personal Care and Beauty,Barber Equipment,
US Army Class A Army Green Uniform Tab,Clothing and Accessories,Military Uniforms,
Haramain Amber Gold Edition 120 ml,Personal Care and Beauty,Toiletries,
Maytag%20Dryer.%20MED7230HC1,Appliances,Dryer - Electric or Gas,
broom and dustpan,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
Flat Jaw Needle Nose Plier,Tools,Hand Tools - Under $200,
trek trek 4300,Sporting Goods and Outdoors,Bicycles,
LEATHER WEDGE HEELS GIANNI BINI,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
20%22%20round%203%20leg%20particle%20board%20accent%20table%20w/%20glass%20top,Furniture,Particle Board Furniture,
6%20Amp%20Variable%20Speed%20Jig%20Saw,Tools,Lifetime Warranty Tools,
Ping Pong Paddles,Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
wall%20art%3A%20%20house,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
"Heating%20Pad,%20Extra%20Large",Electronics,Electronic Accessories,
"Storage Tubs HDX @ 12/bin, 5 years old",Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
Whirlpool Dishwasher  24 in. Fingerprint Resistant Stainless Steel Top Control Dishwasher with 3rd Rack,Appliances,Dishwasher,
metal/glass shade desk lamp,Housewares Home Decor,Lamp Shade Glass,
lampshades set of 2,Housewares Home Decor,Lamp Shade,
5 industrial 4 shelve storage racks,Furniture,Metal Shelving,
Foot Massager,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Brown Manifestation/Wish Box with Black Flower and Moon Design - Etsy,Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
wooden window blinds 23 inch,Housewares Home Decor,Venetian Blinds,
area rug,Housewares Home Decor,"Rugs $1,000 or More",
triangle corner metal shelf 3 shelf corner piece,Furniture,Metal Shelving,
"1 wood slat box w/hinges & latch 22""x15X'12""",Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
2 wicker ($200 for both),Furniture,Wicker or Rattan,
Orvis%20Womens%20LS%20washed%20jean%20shirt%20w/%20Hayden%20Logo,Clothing and Accessories,"Men, Woman, Children, Nonbinary General Clothing and Accessories",
Metal%20golden%20container,Furniture,Military Display Cases,
1 small black umbrella,Clothing and Accessories,Umbrella,
6 pool rack w/shelves,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
"John Lennon Serigraph (Art Gallery valued between 3,200 - 3,800)",Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
Wood for large workbench,Tools,Work Benches - Under $500,
Go%20Pro%20Camera,Electronics,Video Recorders,
Fur%20Zip%20up%20Coat,Clothing and Accessories,Furs,
Wigs,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
Guest%20Chair,Furniture,Particle Board Furniture,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
1 buffalo horn container,Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
One Tree Hill Framed Picture of Bridge Taken in Wilmington - Signed by entire cast - one of a kind,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
"Antique%20Handmade%20Grandfather%20Clock%20by%20Handcrafted%20Clocks%20Chicago,%20IL",Housewares Home Decor,Grandfather Clock,
CLOTHES DRYER FRONT LOAD REGAL \nLG5531XMW1,Appliances,Major Appliances Over $200 (except for below),
electric can opener hamilton beach,Appliances,Minor Appliances Under $200,
Rip Stix 10 years old,Sporting Goods and Outdoors,Bicycles,
grandmother clock,Housewares Home Decor,Clocks Over $25 New,
Kids Nail Polish Set of 12 pieces 4 ML each,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
FAMILY%20PICTURES%20ON%20WALL,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
green Wire 1000 ft stranded coil pack simpull THHN wire,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
OLD%20MASTER%20SCOTCH%20WHISKEY%20LOMBARD,Food Supplies,Alcoholic Beverages,
"Curling%20Iron,%202%22",Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Frigidaire gallery series dishwasher model: GLD2250RDC1,Appliances,Dishwasher,
Clock,Housewares Home Decor,Clocks Under $25 New,
Dewalt%20skill%20saw%2020v,Tools,Hand Tools - Over $200,
burlap%20lampshade,Housewares Home Decor,Lamp Shade,
"2%20jack%20black%20men's%20facial%20product%3A%201%20post%20shave%20cooling%20gel%20.33%20oz,%201%20face%20moisturizer%20.33oz",Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
Estill Swivel Patio Chair with Cushions,Furniture,Lawn Furniture,
Hairbrush,Personal Care and Beauty,"Brushes - Clothes, Hair",
Pool table â?? rack with poles & supplies,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Three drawer nightstand,Furniture,"Hardware for Beds, Dresser Etc.",
Clothes Rack,Furniture,Metal Shelving,
iPhone%2012%20unlocked%20512GB,Electronics,Mobile Telephones,
Apple Air Pods Headphones Max,Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
TomTom GPS XL,Electronics,Mobile Telephones,
Vintage Slate pool table St. Lawrence 8 ft pool table,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Hitochi%207%22%201/4%20Circular%20Saw,Tools,Lifetime Warranty Tools,
2%20lamp%20shades%20white%20silk%2010%22x16%22x11%22,Housewares Home Decor,Lamp Shade,
Fire%20Truck%20Battery%20Powerd%20ride%2012v%20rid%20(%20lazy%20buddy)%20%20kids,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Northface womenÃ¢??s jacket 280,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
Lamp%20shade,Housewares Home Decor,Lamp Shade,
Kid Connection mini walking pet Green Triceratops,Toys and Games,Other Children's Games and Toys (Including Dolls),
chest of drawers,Furniture,"Hardware for Beds, Dresser Etc.",
Paw%20Patrol%20Scooter,Toys and Games,"Scooter, Tricycle, Wagon",
Umbrella - Hand,Clothing and Accessories,Umbrella,
US Army Class A Army Green Uniform Patches,Clothing and Accessories,Military Uniforms,
2 inches custom blinds,Housewares Home Decor,Venetian Blinds,
1 tres generaciones tequil plata agava organico 750ml,Food Supplies,Alcoholic Beverages,
Dining room buffet with marble top coco server,Furniture,"Marble Lamps, Table Tops etc.",
HOME MONITORING SIMPLISAFE,Electronics,Video Recorders,
Denon Receiver,Electronics,"DVD, Blu-Ray Player & DVR",
Fire%20Truck%20Battery%20Powerd%20ride%2012v%20rid%20(%20lazy%20buddy)%20%20kids,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Disney Edition Color BrainBoard Game,Toys and Games,Board Games,
"Wicker baskets, medium size",Furniture,Wicker or Rattan,
DaVinci%20Charlie%206-Drawer%20Double%20Dresser%20in%20Brown,Furniture,Infant and Children,
Night table lamps hurricane lamps,Housewares Home Decor,"Lamps, Lighting & Supplies",
1970’s Standard Issue Army Jacket - Heirloom,Clothing and Accessories,Military Uniforms,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
cream silk shallow vintage lampsahde 16',Housewares Home Decor,Lamp Shade,
X-ACTO® #2 Aluminum Knife,Personal Care and Beauty,Pocket Knife,
procelain doll,Toys and Games,Porcelain Dolls (Decoration Only),
Drapes & Rod,Housewares Home Decor,Venetian Blinds,
Air Rivet Gun,Tools,Pneumatic Tools - Under $200,
GE%20High%20efficiency%20washer,Appliances,Washing Machine,
Wigs,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
"Antique%20Handmade%20Grandfather%20Clock%20by%20Handcrafted%20Clocks%20Chicago,%20IL",Housewares Home Decor,Grandfather Clock,
Luis Vitton wallet,Clothing and Accessories,Handbags and Purses More than $150,
Equate Extra Strength Gas Relief 125mg Qty  20 softgels,Personal Care and Beauty,Medicines,
"Over the toilet organizer, brown",Furniture,Particle Board Furniture,
kingsford 2 pk utility lighters,Personal Care and Beauty,Cigarette Lighter,
Large picture/artwork,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
"end tables 2 large,2 small metal and wicker",Furniture,Wicker or Rattan,
Grey%20Single%20Laundry%20Hamper%20by%20Ebern%20Designs,Housewares Home Decor,Hampers,
cherry oval shaped tea table,Furniture,"Marble Lamps, Table Tops etc.",
Reusable%20lint%20brush,Personal Care and Beauty,"Brushes - Clothes, Hair",
Toilet paper,Personal Care and Beauty,Toiletries,
Pacman machine,Furniture,Ordinary Furniture,
"Work bench, with power strip, 54""x 62""",Tools,Work Benches - Under $500,
MainStays Candle,Housewares Home Decor,Candles - Unused,
Metal Ash bucket for ash collected out of fireplace,Housewares Home Decor,Fireplace Screens and Accessories,
Madesmart Grey Tray (part of another set),Housewares Home Decor,TV Trays,
JOBOX%2024%20x%2048%20inch%20Steel%20Job%20Box,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Maurizio%20Taiuti%20Black%20Leather%20Bag,Clothing and Accessories,Handbags and Purses More than $150,
frozen%20polluck,Food Supplies,Canned - Commercial & Home,
Hand%20Tree%20Saws%20%206'%20-%202%20Man%20Saws%20for%20Professional%20Logging,Tools,Hand Tools - Over $200,
DesertUSA Agate Bookend (Blue 2-3.5 lbs),Housewares Home Decor,Bookends,
Lancome Mousse Cleanser,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
1 head softac,Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
Salmon Portions 1pack,Food Supplies,Canned - Commercial & Home,
Barbershop%20Facial%20Spray,Personal Care and Beauty,Barber Equipment,
makeup mirror,Housewares Home Decor,Mirrors & Framed Mirrors,
Pro.Volt%20Meter,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
2 water dispensers,Appliances,Water Pumps,
"heating%20wrap,%20infrared%20UTK",Personal Care and Beauty,Heating Pad,
basket,Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
1 bronze metal container (drawer organizer),Housewares Home Decor,"Storage Containers, Plastic Tubs",
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
string lights led 5ft,Housewares Home Decor,Decorations - Holiday,
3 plant stand & plants 3 tier stand,Housewares Home Decor,Artificial Flowers and Fruits,
Rolling Coffee Cart Hodedah kitfchen island,Furniture,Microwave Cart and Stands,
Wall%20D%C3%A9cor,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
Convertible%20Crib-%20%20white,Furniture,Infant and Children,
remote%20control%20monster%20trucks,Toys and Games,Electric Trains,
Taxidermy Alaskan Ram,Housewares Home Decor,Taxidermy Items,
"clock,%20small%20desk",Housewares Home Decor,Clocks Under $25 New,
DesertUSA Agate Bookend (Blue 2-3.5 lbs),Housewares Home Decor,Bookends,
Wicker%20Table,Furniture,Wicker or Rattan,
"GE%20Microwave,%20model%20JES1656SJ%2002",Appliances,Microwaves,
Lab Coat-Medium-Grey's Anatomy-Life Uniform,Clothing and Accessories,Work Uniform,
Coloring cardboard  playhouse,Toys and Games,Playing Cards Unopened,
"20"" X 24"" wood frame dbl matted patio print",Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
weaker strage contaner,Housewares Home Decor,"Storage Containers, Plastic Tubs",
Chanel Handbag,Clothing and Accessories,Luxury Goods,
